NAME 	 REGION 	 spt 	 Teff 	 dist 	 log(L/Lsun) 
RXJ0445.8+1556           	 Tau      	 G5 	 5430 	 167.27 	 0.635  
RXJ1508.6-4423           	 Lup      	 G8 	 5180 	 145.73 	 0.008  
RXJ1526.0-4501           	 Lup      	 G9 	 5025 	 150.14 	 -0.066  
PZ99J160843.4-260216     	 USco     	 K0.5 	 4830 	 137.38 	 0.087  
CD-31_12522              	 LupusIII 	 K0.5 	 4830 	 127.39 	 -0.116  
RXJ1515.8-3331           	 Lup      	 K0.5 	 4830 	 115.42 	 -0.135  
PZ99J160550.5-253313     	 USco     	 K1 	 4790 	 105.12 	 -0.290  
RXJ0457.5+2014           	 Tau      	 K1 	 4790 	 122.20 	 -0.272  
RXJ0438.6+1546_penellope 	 Tau      	 K2 	 4710 	 139.12 	 0.021  
RXJ1608.9-3905           	 LupusIII 	 K2 	 4710 	 156.00 	 0.136  
MVlup                    	 LupusI   	 K2 	 4710 	 137.08 	 -0.215  
RXJ1547.7-4018           	 Lup      	 K3 	 4540 	 130.18 	 -0.207  
RXJ1538.6-3916           	 Lup      	 K4 	 4375 	 122.54 	 -0.395  
MTlup                    	 LupusI   	 K5.5 	 4163 	 133.12 	 -0.524  
2MASSJ15552621-3338232   	 LupusI   	 K6 	 4115 	 118.99 	 -0.704  
RXJ1540.7-3756           	 Lup      	 K6 	 4115 	 134.26 	 -0.502  
RXJ1543.1-3920           	 Lup      	 K6 	 4115 	 133.64 	 -0.497  
MXlup                    	 LupusIII 	 K6 	 4115 	 128.75 	 -0.583  
SO879                    	 sigmOri  	 K7 	 4020 	 395.60 	 -0.212  
TWA6                     	 TwHya    	 K7 	 4020 	 65.47 	 -0.751  
RXJ1607.2-3839           	 LupusIII 	 K7.5 	 3960 	 167.87 	 -0.230  
MWlup                    	 LupusI   	 K7.5 	 3960 	 129.56 	 -0.753  
NOlup                    	 LupusI   	 K7.5 	 3960 	 132.78 	 -0.462  
THA15-43                 	 LupusIII 	 K7.5 	 3960 	 125.12 	 -0.752  
Tyc7760283_1             	 TwHya    	 M0 	 3900 	 53.51 	 -0.619  
TWA14                    	 TwHya    	 M0.5 	 3810 	 91.99 	 -0.872  
#THA15-36A                	 LupusIII 	 M0.5 	 3810 	 145.60 	 -0.856  
RXJ1121.3-3447_app2      	 TwHya    	 M1 	 3720 	 59.73 	 -0.698  
RXJ1121.3-3447_app1      	 TwHya    	 M1 	 3720 	 59.74 	 -0.608  
#THA15-36B                	 LupusIII 	 M2 	 3560 	 150.92 	 -1.066  
CD_29_8887A              	 TwHya    	 M2 	 3560 	 45.94 	 -0.503  
CD_36_7429B              	 TwHya    	 M3 	 3410 	 76.07 	 -1.064  
TWA15_app2               	 TwHya    	 M3 	 3410 	 114.68 	 -0.921  
TWA7                     	 TwHya    	 M3 	 3410 	 34.05 	 -0.969  
Sz67                     	 LupusI   	 M3 	 3410 	 103.20 	 -0.859  
RECX-6                   	 LupusI   	 M3 	 3410 	 97.93 	 -0.988  
TWA15_app1               	 TwHya    	 M3.5 	 3300 	 114.17 	 -0.928  
Sz94                     	 Lup      	 M4 	 3190 	 114.65 	 -1.248  
SO797                    	 sigmOri  	 M4.5 	 3085 	 385.85 	 -1.198  
#2MASSJ16075888-3924347   	 LupusIII 	 M4.5 	 3085 	 162.57 	 -1.527  
SO641                    	 sigmOri  	 M5 	 2980 	 374.57 	 -1.499  
Par_Lup3_2               	 Lup      	 M5 	 2980 	 157.17 	 -0.962  
2MASSJ16090850-3903430   	 LupusIII 	 M5 	 2980 	 156.49 	 -1.293  
SO925                    	 sigmOri  	 M5.5 	 2920 	 371.54 	 -1.558  
SO999                    	 sigmOri  	 M5.5 	 2920 	 387.74 	 -1.214  
V1191Sco                 	 LupusIII 	 M5.5 	 2920 	 168.35 	 -1.009  
2MASSJ16091713-3927096   	 LupusIII 	 M5.5 	 2920 	 133.71 	 -2.000  
Sz107                    	 Lup      	 M5.5 	 2920 	 152.36 	 -1.030  
Par_Lup3_1               	 Lup      	 M6.5 	 2815 	 159.65 	 -1.377  
LM717                    	 ChaI     	 M6.5 	 2815 	 190.56 	 -1.580  
J11195652-7504529        	 ChaI     	 M7 	 2770 	 189.17 	 -2.012  
LM601                    	 ChaI     	 M7.5 	 2720 	 186.10 	 -2.088  
CHSM17173                	 ChaI     	 M8 	 2670 	 191.46 	 -1.827  
TWA26                    	 TwHya    	 M9 	 2570 	 46.56 	 -2.635  
DENIS1245                	 TwHya    	 M9.5 	 2520 	 83.10 	 -2.776  
