# Teff 	 factor
2.40e+03	5.60e-06
2.50e+03	9.76e-06
2.60e+03	1.60e-05
2.70e+03	2.38e-05
2.80e+03	3.10e-05
2.90e+03	3.95e-05
3.00e+03	4.41e-05
3.10e+03	4.97e-05
3.20e+03	5.51e-05
3.30e+03	6.04e-05
3.40e+03	6.48e-05
3.50e+03	6.82e-05
3.60e+03	7.14e-05
3.70e+03	7.39e-05
3.80e+03	7.66e-05
3.90e+03	7.86e-05
4.00e+03	8.09e-05
4.10e+03	8.18e-05
4.20e+03	8.25e-05
4.30e+03	8.53e-05
4.40e+03	8.80e-05
4.50e+03	9.06e-05
4.60e+03	9.31e-05
4.70e+03	9.41e-05
4.80e+03	9.50e-05
4.90e+03	9.56e-05
5.00e+03	9.59e-05
5.10e+03	9.64e-05
5.20e+03	9.66e-05
5.30e+03	9.64e-05
5.40e+03	9.61e-05
5.50e+03	9.56e-05
5.60e+03	9.51e-05
5.70e+03	9.44e-05
5.80e+03	9.36e-05
5.90e+03	9.28e-05
6.00e+03	9.18e-05
6.20e+03	8.99e-05
6.40e+03	8.78e-05
6.60e+03	8.55e-05
6.80e+03	8.32e-05
7.00e+03	8.12e-05
7.20e+03	7.90e-05
7.40e+03	7.66e-05
7.60e+03	7.41e-05
7.80e+03	7.17e-05
8.00e+03	6.92e-05
8.20e+03	6.66e-05
8.40e+03	6.42e-05
8.60e+03	6.15e-05
8.80e+03	5.88e-05
9.00e+03	5.61e-05
9.20e+03	5.37e-05
9.40e+03	5.12e-05
9.60e+03	4.86e-05
9.80e+03	4.63e-05
1.00e+04	4.41e-05
