NAME			REGION	      	SpT	Teff	SpT_err
#IC348-127		IC348		G4	5800	1
#T21			ChaI		G5	5770	1
#RXJ0445.8+1556		Tau		G5	5770	1
RXJ1508.6-4423		Lup		G8	5520	1
RXJ1526.0-4501		Lup		G9	5410	1
#CD-35_10498 		LupusI		G9	5024	1	#NaN	NaN
HBC407			Tau		K0	5110	1
PZ99J160843.4-260216	USco		K0.5	5050	1
CD-31_12522      	LupusIII        	K0.5	5050	1
RXJ1515.8-3331		Lup		K0.5	5050	1
PZ99J160550.5-253313	USco		K1	5000	1
RXJ0457.5+2014		Tau		K1	5000	1
#CrA75			CrA		K2	4900	1
#RXJ0438.6+1546_old		Tau		K2	4900	1
RXJ0438.6+1546		Tau		K2	4900	1	
RXJ1608.9-3905          	Lupus      	K2	4730	1
MVlup           		LupusI           K2	4730	1
RXJ1547.7-4018		Lup		K3	4730	1
#NNlup           		LupusIII        	K3	4730	1
#CD-39_10292             	LupusIII     	K4	4590	1
RXJ1538.6-3916		Lup		K4	4590	1
MTlup           		LupusI           K5.5	4277	1
2MASSJ15552621-3338232  	LupusI       	K6	4205	0.5
RXJ1540.7-3756		Lup		K6	4205	0.5
RXJ1543.1-3920		Lup		K6	4205	0.5
MXlup                   	LupusIII     	K6	4205	0.5
SO879			sigmOri		K7	4060	0.5
TWA6			TwHya		K7	4060	0.5
#V1097Sco                	LupusIII     	K7	4060	0.5
#CD_36_7429A   		TwHya		K7	4060 	0.5
RXJ1607.2-3839  		LupusIII         K7.5	3955	0.5
MWlup           		LupusI          	K7.5	3955	0.5
NOlup           		LupusI          	K7.5	3955	0.5
THA15-43                 	LupusIII     	K7.5	3955	0.5
Tyc7760283_1		TwHya		M0	3850 	0.5
TWA14			TwHya		M0.5	3780	0.5
#THA15-36A	     	LupusIII        	M0.5	3780	1
RXJ1121.3-3447_app2	TwHya		M1	3705	0.5
RXJ1121.3-3447_app1	TwHya		M1	3705	0.5
#THA15-36B	     	LupusIII        	M2	3560	1
CD_29_8887A		TwHya		M2	3560	0.5
#Sz122			Lup		M2	3560	0.5
CD_36_7429B		TwHya		M3	3415	0.5
TWA15_app2		TwHya		M3	3415	0.5
TWA7			TwHya		M3	3415	0.5
RECX-6			EtaCha	   	M3	3415	0.5
Sz67            		LupusI          	M3	3415	0.5
#THA15-38                	LupusIII     	M3	3415	0.5
TWA15_app1		TwHya		M3.5	3340	0.5
Sz94			Lup		M4	3270	0.5
#Sz121			Lup		M4	3270	0.5
SO797			sigmOri		M4.5	3200	0.5
2MASSJ16075888-3924347  	LupusIII     	M4.5	3200	0.5
SO641			sigmOri		M5	3125 	0.5
Par_Lup3_2		Lup		M5	3125	0.5
2MASSJ16090850-3903430  	LupusIII     	M5	3125	0.5
2MASSJ16091713-3927096  	LupusIII     	M5.5	3060	0.5
V1191Sco        		LupusIII         M5.5	3060	0.5
SO925			sigmOri		M5.5	3060	0.5
SO999			sigmOri		M5.5	3060	0.5
Sz107			Lup		M5.5	3060	0.5
#Par_Lup3_1		Lup		M6.5	2935	0.5
LM717			ChaI		M6.5	2935	0.5
J11195652-7504529	ChaI		M7	2880	0.5
LM601			ChaI		M7.5	2795	0.5
CHSM17173		ChaI		M8	2710	0.5
TWA26			TwHya		M9	2400	0.5
DENIS1245		TwHya	 	M9.5	2330	0.5
